대학명,전형명,모집군,모집단위,모집인원,,,경쟁률,충원순위,최종등록자 대학별환산,,,"최종등록자 50%학생 과목별 백분위(영어,한국사는 등급 표기)",,,,,,"최종등록자 70%학생 과목별 백분위(영어,한국사는 등급 표기)",,,,,,최종등록자 수학 선택과목 응시 비율(%),,,반영영역 평균백분위,,반영영역 평균등급,
,,,,최초(A),이월(B),최종(A+B),,,"최종등록자
(50%cut)","최종등록자
(70%cut)",총점(수능),국어,수학,탐구1,탐구2,영어,한국사,국어,수학,탐구1,탐구2,영어,한국사,확률과통계,미적분,기하,"최종등록자
단국대,일반학생전형,다,사학과,12,,12,11.92,17,846.5,841.5,1000,92,87,66,71,4,6,97,74,62,59,2,1,83.3,16.7,,,,,
단국대,일반학생전형,다,철학과,8,,8,7.75,14,842,841.5,1000,92,62,85,90,3,6,83,78,77,89,3,2,87.5,12.5,,,,,
단국대,일반학생전형,다,사회계열광역,,7,7,5.57,11,842,841,1000,89,81,83,59,3,2,70,83,97,89,2,2,57.1,42.9,,,,,
단국대,일반학생전형,다,경영학부,38,2,40,5.25,59,857,852.5,1000,95,85,87,95,5,1,79,90,85,65,3,3,73.7,18.4,7.9,,,,
단국대,일반학생전형,다,고분자시스템공학부(파이버융합소재공학전공),10,,10,8.5,8,863.7,862.7,1000,72,93,72,87,4,5,58,92,95,88,4,1,,100,,,,,
단국대,일반학생전형,다,토목환경공학과,13,,13,6.85,14,857.9,857.3,1000,80,87,92,62,3,5,60,90,92,81,2,4,8.3,91.7,,,,,
단국대,일반학생전형,다,건축학부(건축공학전공),9,1,10,9.3,12,859.2,857.4,1000,68,92,77,77,3,1,72,90,68,94,4,2,,88.9,11.1,,,,
단국대,일반학생전형,다,소프트웨어학과,17,,17,6.18,30,868.4,866.7,1000,85,93,64,75,3,2,77,93,68,77,3,2,5.9,88.2,5.9,,,,
단국대,일반학생전형,다,컴퓨터공학과,12,,12,6.5,20,874.4,871.7,1000,60,92,96,75,2,5,79,92,81,67,3,5,,91.7,8.3,,,,
단국대,일반학생전형,다,모바일시스템공학과,18,,18,6.61,16,863.2,862.5,1000,77,85,96,75,4,1,74,92,83,75,4,5,16.7,75,8.3,,,,
단국대,일반학생전형,다,통계데이터사이언스학과,12,,12,7.58,15,865,864.3,1000,77,90,83,96,4,3,72,93,62,85,2,2,8.3,83.3,8.3,,,,
단국대,일반학생전형,다,사이버보안학과,12,,12,5.58,8,867.8,866,1000,63,90,94,85,3,1,93,85,85,62,3,3,,100,,,,,
단국대,일반학생전형,다,한문교육과,9,,9,7.33,11,836.5,836.5,1000,85,70,90,78,2,3,79,74,90,85,1,2,50,50,,,,,
단국대,일반학생전형,다,특수교육과,18,,18,6.94,13,835,833.5,1000,88,70,77,85,3,4,83,78,80,78,3,2,44.4,50,5.6,,,,
단국대,일반학생전형,다,수학교육과,8,,8,6.63,13,882,864.2,1000,94,89,71,81,4,5,93,83,95,56,3,2,,87.5,12.5,,,,
단국대,일반학생전형,다,과학교육과,11,1,12,7.5,18,861.5,855.6,1000,63,89,75,91,2,3,61,89,87,89,3,6,,81.8,18.2,,,,
단국대,일반학생전형,다,체육교육과,30,,30,7.4,33,576.24,570.78,700,68,89,93,85,2,3,70,66,100,80,3,3,50,50,,,,,
단국대(천안),일반학생전형,가,아시아중동학부(몽골학전공),11,0,11,6.64,15,751,747.5,1000,77,57,59,71,3,4,85,70,68,55,5,4,88.89,0,11.11,,,,
단국대(천안),일반학생전형,가,아시아중동학부(베트남학전공),7,1,8,8.38,7,757.5,756,1000,74,50,74,81,2,3,74,56,53,78,3,2,71.43,28.57,0,,,,
단국대(천안),일반학생전형,가,유럽중남미학부(포르투갈브라질학전공),9,0,9,7.78,15,763.5,761.5,1000,79,66,66,59,3,1,94,47,48,59,3,2,55.56,44.44,0,,,,
단국대(천안),일반학생전형,가,수학과,13,1,14,5.07,19,787.6,782.1,1000,80,66,78,43,3,2,47,92,72,56,4,2,0,100,0,,,,
단국대(천안),일반학생전형,가,제약공학과,12,1,13,4.15,18,813,799.2,1000,93,74,62,51,1,3,75,78,68,77,4,2,7.69,84.62,7.69,,,,
단국대(천안),일반학생전형,가,생명자원학부(동물생명공학전공),13,1,14,5.79,11,787.5,779.5,1000,61,78,81,23,3,6,65,74,83,71,4,2,14.29,85.71,0,,,,
단국대(천안),일반학생전형,가,의생명과학부(의생명시스템학전공),13,3,16,3.69,10,813.7,811.7,1000,67,87,53,68,3,1,44,81,37,92,2,3,0,93.75,6.25,,,,
단국대(천안),일반학생전형,가,의생명과학부(생명과학전공),16,0,16,7.94,17,800.2,790,1000,70,81,13,69,3,5,72,66,98,75,4,2,6.67,93.33,0,,,,
단국대(천안),일반학생전형,가,해병대군사학과(여),0,2,2,2,0,722,722,1000,82,30,34,74,3,1,,,,,,,50,50,0,,,,
단국대(천안),일반학생전형,가,간호학과,51,1,52,3.06,33,843,839,1000,75,78,97,82,3,2,68,85,46,92,2,3,26.92,71.15,1.92,,,,
단국대(천안),일반학생전형,가,약학과,22,0,22,9.77,45,952.3,951.3,1000,89,99,94,94,1,3,95,98,98,88,1,1,0,100,0,,,,
단국대(천안),일반학생전형,가,임상병리학과,17,2,19,3.79,15,807,804.2,1000,85,74,78,23,4,3,61,83,52,75,3,4,5.26,89.47,5.26,,,,
단국대(천안),일반학생전형,가,보건행정학과,12,0,12,5.25,10,793,791,1000,82,68,80,64,4,4,77,57,87,68,3,1,58.33,33.33,8.33,,,,
단국대(천안),일반학생전형,가,심리치료학과,12,0,12,5.08,18,782,773,1000,85,59,80,74,3,1,93,74,41,37,3,3,54.55,45.45,0,,,,
단국대(천안),일반학생전형,나,아시아중동학부(중국학전공),16,1,17,4.47,12,763,760.5,1000,89,52,83,61,5,1,82,43,71,87,4,1,70.59,29.41,0,,,,
단국대(천안),일반학생전형,나,아시아중동학부(일본학전공),13,2,15,5.87,8,770.5,766.5,1000,79,46,93,82,4,4,77,54,88,85,4,4,53.33,20,26.67,,,,
단국대(천안),일반학생전형,나,아시아중동학부(중동학전공),12,3,15,5.6,12,748.5,747,1000,70,59,55,78,3,3,77,45,87,86,4,1,76.92,23.08,0,,,,
단국대(천안),일반학생전형,나,영어과,13,0,13,4.38,16,771.5,769.5,1000,65,87,92,69,5,1,63,59,94,92,2,1,61.54,38.46,0,,,,
단국대(천안),일반학생전형,나,화학과,13,0,13,4.62,10,784.5,772.5,1000,70,74,71,81,4,5,63,63,59,98,4,6,15.38,69.23,15.38,,,,
단국대(천안),일반학생전형,나,식품영양학과,13,1,14,5.07,7,770.9,767.2,1000,79,62,78,14,3,3,56,81,75,51,4,4,42.86,57.14,0,,,,
단국대(천안),일반학생전형,나,신소재공학과,13,2,15,5.2,15,821.6,818.5,1000,61,81,69,85,3,4,65,83,64,75,2,4,0,93.33,6.67,,,,
단국대(천안),일반학생전형,나,생명자원학부(식량생명공학전공),11,0,11,6.45,14,777.5,769.3,1000,68,89,64,59,4,3,70,59,89,59,3,3,36.36,54.55,9.09,,,,
단국대(천안),일반학생전형,나,생명자원학부(환경원예학전공),12,2,14,3.79,16,765,764.2,1000,51,78,80,51,3,4,42,81,55,85,4,5,42.86,50,7.14,,,,
단국대(천안),일반학생전형,나,의생명과학부(미생물학전공),12,1,13,4.23,15,796.5,786.7,1000,60,81,64,97,5,9,72,81,62,61,3,3,0,100,0,,,,
단국대(천안),일반학생전형,나,식품공학과,12,0,12,4.08,16,791.3,782,1000,82,70,59,80,4,2,65,74,68,84,4,4,30,70,0,,,,
단국대(천안),일반학생전형,나,공공정책학과,11,0,11,5.09,4,791.5,783.5,1000,79,70,74,35,3,1,75,50,90,71,2,3,63.64,36.36,0,,,,
단국대(천안),일반학생전형,나,치의예과,50,5,55,4.45,31,964.6,962.6,1000,98,99,93,94,1,4,95,98,99,96,1,2,0,98.15,1.85,,,,
단국대(천안),일반학생전형,나,물리치료학과,17,1,18,3.72,13,827,819,1000,77,78,83,92,4,3,68,78,88,58,3,2,35.29,64.71,0,,,,
단국대(천안),일반학생전형,나,치위생학과,17,0,17,5.12,17,783.5,782,1000,72,74,38,71,3,3,77,78,74,59,4,2,25,75,0,,,,
단국대(천안),일반학생전형,다,유럽중남미학부(독일학전공),8,0,8,8.25,8,773,765,1000,61,66,80,95,3,2,80,52,74,59,2,1,66.67,16.67,16.67,,,,
단국대(천안),일반학생전형,다,유럽중남미학부(프랑스학전공),8,1,9,5.67,10,773,765.5,1000,77,78,83,50,5,5,72,43,95,64,3,1,77.78,11.11,11.11,,,,
단국대(천안),일반학생전형,다,유럽중남미학부(스페인중남미학전공),11,0,11,7.64,10,771.5,769,1000,70,47,97,81,3,1,75,54,66,81,2,1,81.82,18.18,0,,,,
단국대(천안),일반학생전형,다,유럽중남미학부(러시아학전공),11,0,11,8.09,5,760.5,759,1000,93,52,46,54,2,2,70,62,80,37,3,3,70,30,0,,,,
단국대(천안),일반학생전형,다,물리학과,12,1,13,7,24,774.6,766.1,1000,61,66,88,67,3,1,63,66,83,52,3,3,0,84.62,15.38,,,,
단국대(천안),일반학생전형,다,에너지공학과,18,3,21,5.57,36,793.4,790.7,1000,80,68,55,75,2,1,65,74,56,85,3,5,5,90,5,,,,
단국대(천안),일반학생전형,다,경영공학과,13,0,13,4.69,24,787.6,781.3,1000,65,66,90,31,3,5,91,59,68,77,3,2,61.54,30.77,7.69,,,,
단국대(천안),일반학생전형,다,생명자원학부(녹지조경학전공),12,0,12,8,13,775.7,771.2,1000,67,78,55,66,3,2,52,87,22,71,4,4,18.18,72.73,9.09,,,,
단국대(천안),일반학생전형,다,코스메디컬소재학과,8,0,8,9.25,12,799.5,793.2,1000,75,74,75,64,3,3,44,81,95,32,4,3,0,100,0,,,,
단국대(천안),일반학생전형,다,의예과,40,0,40,15.95,209,974.8,973.3,1000,98,99,94,99,1,1,96,100,96,96,1,1,0,97.44,2.56,,,,
단국대(천안),일반학생전형,다,공공정책학과(야),14,2,16,5.44,15,717,710.5,1000,82,45,59,68,4,4,56,56,83,93,4,3,81.25,18.75,0,,,,
단국대(천안),일반학생전형,다,사회복지학과,12,2,14,5.64,29,772,768,1000,83,52,75,62,3,4,89,24,80,85,2,4,85.71,14.29,0,,,,
단국대(천안),일반학생전형,다,식품자원경제학과,11,1,12,5.33,28,771,769.5,1000,70,76,61,71,2,2,74,54,52,85,3,5,83.33,16.67,0,,,,
단국대(천안),일반학생전형,다,율곡혁신칼리지,173,0,173,4.94,152,762,757,1000,82,66,55,61,2,1,67,66,94,42,4,1,40.51,56.33,3.16,,,,
단국대(천안),일반학생전형,다,자연공학계열광역,0,10,10,2.1,12,786.3,764.7,1000,52,70,94,67,3,5,61,81,58,51,1,1,11.11,88.89,0,,,,
대구가톨릭대,일반전형,나,자율전공학부,3,3,6,6.8,15,318.4,311.84,400,,54,88,,4,2,49,,77,,4,5,83.3,16.7,,,,,
대구가톨릭대,일반전형,나,글로벌비즈니스대학,3,54,57,3.7,69,298.8,285.6,400,29,,85,,8,5,,51,54,,4,5,67.3,23.6,3.6,,,,
대구가톨릭대,일반전형,나,바이오메디대학,11,63,74,2.5,97,279.3,260.38,400,42,,64,,5,6,,56,40,,5,4,29.7,56.8,12.2,,,,
대구가톨릭대,일반전형,다,반려동물보건학과,2,2,4,4.3,4,302.7,300.1,400,70,59,,,4,2,,63,66,,6,7,33.3,66.7,,,,,
대구가톨릭대,일반전형,다,방사선학과,4,0,4,8,9,356.5,355.1,400,,70,94,,3,1,,70,94,,3,1,75,25,,,,,
대구가톨릭대,일반전형,다,물리치료학과,4,0,4,10,10,362.4,358.96,400,86,,94,,3,6,86,,94,,3,6,50,50,,,,,
대구가톨릭대,일반전형,다,공과대학,2,68,70,2.2,54,299.6,279.68,400,,42,66,,5,3,,46,59,,6,3,21.7,68.1,8.7,,,,
대구가톨릭대,일반전형,다,건축학과,2,5,7,3,5,316.1,314.06,400,,54,83,,5,4,42,,88,,4,4,42.9,14.3,28.6,,,,
대구가톨릭대,일반전형,다,소프트웨어융합대학,3,77,80,1.8,74,263.5,234.34,400,,63,34,,5,8,,51,41,,5,5,20.8,71.4,6.5,,,,
대구가톨릭대,일반전형,다,의예과,18,10,28,15.2,89,525.8,524.43,540.8,99,98,92.5,,1,1,100,98,91,,1,1,,100,,,,,
대구가톨릭대,일반전형,나,간호학과,42,4,46,4.1,47,322.8,318.96,400,68,83,77,,4,1,88,63,74,,4,3,34.8,65.2,,,,,
대구가톨릭대,일반전형,나,약학부,10,0,10,9.4,8,516.54,516.11,540.8,97,99,84.5,,1,1,95,99,79,,1,1,,100,,,,,
대구가톨릭대,일반전형,다,사회과학대학,15,56,71,3,93,297.2,282,400,,54,59,,4,4,37,,68,,5,4,82.6,17.4,,,,,
대구가톨릭대,일반전형,나,교육학과,0,1,1,4,,310.4,310.4,400,58,70,,,3,3,58,70,,,3,3,,100,,,,,
대구가톨릭대,일반전형,다,영어교육과,0,10,10,2.3,12,299.4,285.96,400,,40,85,,3,1,40,,74,,2,5,66.7,33.3,,,,,
대구가톨릭대,일반전형,나,수학교육과,0,12,12,2.1,8,304.4,292,400,,70,52,,6,5,,57,55,,4,3,25,75,,,,,
대구가톨릭대,일반전형,나,지리교육과,0,2,2,5,,337.6,332.32,400,67,,95,,4,5,67,,95,,4,5,50,50,,,,,
대구가톨릭대,일반전형,나,유아교육과,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
대구가톨릭대,일반전형,나,체육교육과,10,3,13,3.4,7,300.4,294.72,400,63,35,92,,3,1,68,24,85,,3,5,76.9,23.1,,,,,
대구교대,일반전형,나,초등교육과,92 ,12,104,3.15,17,880.63,875.15,1000,77,74,95,91,2,,82,85,68,78,4,,33,61.2,5.8,,,,
대구교대,"기초생활수급자,차상위계층,한부모가족지원대상자특별전형",나,초등교육과,6,,6,3.67,1,818.05,815.13,1000,70,70,80,59,3,,68,66,74,55,4,,66.7,33.3,,,,,
대구교대,만학도특별전형,나,초등교육과,10,,10,3.1,1,846.32,842.87,1000,70,70,77,74,3,,58,57,90,99,4,,80,10,10,,,,
대구교대,농어촌학생특별전형,나,초등교육과,,12,12,3.08,2,860.19,850.03,1000,70,81,92,66,3,,80,54,77,81,3,,41.7,58.3,,,,,
대구대,일반전형,가,경찰학부(경찰행정학전공),15,0,15,2.9,13,637.6,633.1,900,60,57,74,,3,2,58,54,72,,4,3,80,13.3,6.7,,,,
대구대,일반전형,가,사회복지학과,6,0,6,6,8,635.9,618.7,900,72,46,81,,4,3,67,46,78,,4,3,83.3,16.7,0,,,,
대구대,일반전형,가,디자인예술계열,0,9,9,3.2,20,635,591.8,900,54,,59,,4,3,42,,54,,4,3,42.9,42.9,0,,,,
대구대,일반전형,가,지리교육과,0,1,1,1.5,5,703.3,610.7,900,56,78,97,,4,2,47,45,90,,4,4,100,0,0,,,,
대구대,일반전형,가,특수교육과,4,0,4,4.3,3,704.3,696.1,900,77,68,85,,3,1,70,66,84,,4,1,66.7,33.3,0,,,,
대구대,일반전형,가,수학교육과,0,1,1,2,3,717.62,717.62,900,68,83,68,,5,2,68,83,68,,5,2,0,100,0,,,,
대구대,일반전형,가,물리치료학과,3,0,3,6,1,722.93,711.77,900,94,78,71,,4,1,75,78,67,,4,2,66.7,33.3,0,,,,
대구대,일반전형,나,공공인재계열,0,56,56,1.4,30,537.7,506.1,900,46,40,58,,4,4,40,36,51,,5,4,62.2,33.3,4.4,,,,
대구대,일반전형,나,글로벌경영계열,0,79,79,1.6,63,503.5,469.4,900,39,33,53,,5,4,33,28,46,,5,5,82.4,14.1,3.5,,,,
대구대,일반전형,나,사회과학계열,0,65,65,1.5,30,560.2,545,900,51,38,72,,4,3,46,35,69,,4,3,68.9,24.4,2.2,,,,
대구대,일반전형,나,IT·공과계열,0,119,119,1.7,111,550.4,507.82,900,39,51,53,,4,4,31,45,42,,5,5,18.6,72.5,8.8,,,,
대구대,일반전형,나,실내건축디자인학과,2,2,4,2.5,6,560.2,560.2,900,40,,64,,4,3,40,,64,,4,3,25,75,0,,,,
대구대,일반전형,나,게임학과,0,5,5,1.2,1,568.3,564.7,900,70,,46,,4,2,54,,43,,5,4,100,0,0,,,,
대구대,일반전형,나,국어교육과,0,1,1,2,2,688,679.9,900,83,74,94,,4,3,60,66,83,,4,3,33.3,66.7,0,,,,
대구대,일반전형,나,영어교육과,0,4,4,1.9,9,688,686.3,900,80,66,81,,3,2,72,66,75,,3,2,85.7,14.3,0,,,,
대구대,일반전형,나,초등특수교육과,4,0,4,4.8,3,703.3,696.1,900,75,78,92,,3,3,63,66,90,,4,4,100,0,0,,,,
대구대,일반전형,나,간호학과,15,0,15,4.6,13,723.65,716.63,900,72,81,84,,2,1,65,76,77,,3,2,14.3,78.6,7.1,,,,
대구대,일반전형,나,문화콘텐츠학부,0,20,20,1.3,6,479.1,462.6,900,42,25,56,,5,5,39,25,54,,5,5,66.7,25,0,,,,
대구대,일반전형,다,자유전공학부,2,7,9,3.9,51,545.9,537.5,900,46,52,72,,5,4,37,46,56,,5,6,33.3,60,0,,,,
대구대,일반전형,다,보건바이오계열,0,42,42,1.9,43,514.2,484.51,900,40,47,49,,4,4,33,39,40,,5,5,31.3,65.6,3.1,,,,
대구대,일반전형,다,유아특수교육과,0,2,2,5,6,696.1,696.1,900,63,54,95,,3,1,63,54,95,,3,1,50,50,0,,,,
대구대,일반전형,다,물리교육과,0,16,16,1.6,10,612.29,612.29,900,56,68,69,,4,2,56,68,69,,4,2,33.3,41.7,25,,,,
대구대,일반전형,다,화학교육과,0,13,13,1.9,7,624.1,624.1,900,63,66,69,,3,2,63,66,69,,3,2,38.5,53.8,7.7,,,,
대구대,일반전형,다,지구과학교육과,0,1,1,3.5,4,744.53,692.33,900,70,92,97,,3,1,63,76,77,,3,1,50,50,0,,,,
대구대,일반전형,다,재활과학계열,0,36,36,1.9,33,531.65,529.67,900,47,40,55,,4,3,46,39,52,,4,4,63,33.3,3.7,,,,
대구한의대,일반전형,가,간호학과,,,12,5.6,33,,904,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,가,임상병리학과,,,5,3.5,23,,830,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,가,반려동물보건학과,,,2,3.7,3,,809.6,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,가,인문계열통합모집단위,,,14,2.3,51,,761.6,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,나,한의예과(자연),,,12,7.3,5,,999,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,나,한의예과(인문),,,9,7.4,7,,1000,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,나,물리치료학과,,,2,12,3,,899.4,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,나,중등특수교육과,,,10,1,,,841,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,나,체육학과,,,17,2,9,,909.48,1000,,,,,,,,,,,,,,,,,,,
대구한의대,일반전형,나,자연계열통합모집단위,,,224,1.4,60,,769.2,1000,,,,,,,,,,,,,,,,,,,
대전가톨릭대,전체전형,가,신학과,24,,24,0.46,,363.25,313.5,500,75,48,80,71,3,3,44,56,92,98,4,1,100,,,,,,
대전대,일반전형,가,건축학과(4년제),0,2,2,8.5,2,830,830,1000,42,31,85,,3,4,42,31,85,,3,4,100,0,0,,,,
대전대,일반전형,가,군사학과 (남),0,8,8,1.25,,427,406,700,46,34,52,35,4,3,29,36,58,47,5,5,66.7,33.3,0,,,,
대전대,일반전형,가,중등특수교육과,0,2,2,4.5,1,760,760,1000,42,18,61,46,2,4,42,18,61,46,2,4,100,0,0,,,,
대전대,일반전형,가,컴퓨터공학과,0,20,20,6.8,46,699,685,1000,61,50,69,59,4,5,18,66,33,,4,4,15,70,0,,,,
대전대,일반전형,가,응급구조학과,5,1,6,7.8,15,708.3,685,1000,31,66,75,,4,1,44,68,66,64,4,4,16.7,66.7,0,,,,
대전대,일반전형,가,한의예과,8,1,9,11.4,19,983.5,982.7,1000,98,97,98,91,1,3,97,95,96,99,1,4,11.1,88.9,0,,,,
대전대,일반전형,가,한의예과(지역인재),5,0,5,8.8,9,975.8,971.2,1000,100,95,96,87,1,1,99,93,96,90,1,1,0,100,0,,,,
대전대,일반전형,나,혜화리버럴아츠칼리지,0,83,83,2.84,83,649,600,1000,16,59,40,30,4,5,34,,74,,6,1,64,28,2.7,,,,
대전대,일반전형,나,물리치료학과,5,0,5,7.4,4,821.7,805,1000,70,43,95,69,3,2,60,35,90,49,2,4,60,20,0,,,,
대전대,일반전형,나,임상병리학과,5,0,5,4.8,10,785,778.3,1000,68,66,37,,1,4,72,70,59,,2,2,60,40,0,,,,
대전대,일반전형,다,법ㆍ행정학부,0,28,28,2.2,40,650,585,1000,52,8,59,59,4,3,49,46,56,43,5,4,79.3,13.8,0,,,,
대전대,일반전형,다,사회복지학과,0,9,9,2.6,13,669,619,1000,42,2,63,49,4,5,42,51,63,59,5,5,90,10,0,,,,
대전대,일반전형,다,상담학과,0,8,8,6.3,13,660,655,1000,51,32,80,71,7,2,60,50,59,46,4,4,88.9,11.1,0,,,,
대전대,일반전형,다,경영학부,0,12,12,6.3,12,763,744,1000,46,35,72,48,3,6,56,34,78,46,4,5,62.5,25,0,,,,
대전대,일반전형,다,물류통상학과,0,10,10,3.9,7,700,693,1000,58,51,69,56,4,2,21,42,68,50,4,6,80,10,0,,,,
대전대,일반전형,다,산업ㆍ광고심리학과,0,2,2,7,1,865,865,1000,65,43,92,68,3,3,65,43,92,68,3,3,50,50,0,,,,
대전대,일반전형,다,건축공학과,0,4,4,4.5,4,730,699,1000,34,54,85,42,5,2,27,59,46,,3,5,0,100,0,,,,
대전대,일반전형,다,토목환경공학과,0,8,8,6,9,685,679,1000,36,66,40,25,4,4,65,52,40,37,4,5,0,100,0,,,,
대전대,일반전형,다,재난안전공학과,0,8,8,3.9,5,674,635,1000,34,47,64,43,4,5,54,40,72,66,6,4,66.7,33.3,0,,,,
대전대,일반전형,다,소방방재학과,0,4,4,3,5,724,724,1000,52,62,74,46,4,5,52,62,74,46,4,5,50,0,0,,,,
대전대,일반전형,다,반도체공학과,0,8,8,3,11,715,715,1000,49,43,72,59,4,3,44,41,62,23,3,3,12.5,87.5,0,,,,
대전대,일반전형,다,정보통신공학과,0,29,29,3.1,21,640,635,1000,34,57,46,33,4,3,29,56,33,,4,4,18.5,77.8,0,,,,
대전대,일반전형,다,정보보안학과,0,7,7,4.1,11,734,674,1000,65,66,55,45,3,5,54,45,35,26,3,5,25,62.5,0,,,,
대전대,일반전형,다,AI소프트웨어학부,0,21,21,5.1,31,700,675,1000,72,51,67,,5,4,44,40,74,,5,4,15,70,0,,,,
대전대,일반전형,다,간호학과,9,11,11,6.3,30,834,828.3,1000,72,57,97,50,3,5,49,89,78,75,3,3,44.4,44.4,0,,,,
대전대,일반전형,다,식품영양학과,0,8,8,2.5,6,725,700,1000,40,74,52,47,4,2,52,45,59,49,3,2,55.6,33.3,0,,,,
대전대,일반전형,다,보건의료경영학과,0,5,5,4.4,5,745,744,1000,47,54,68,53,3,4,44,28,78,58,4,5,60,40,0,,,,
대전대,일반전형,다,화장품학과,0,5,5,3.6,13,670,645,1000,6,4,63,56,4,4,51,68,42,35,5,2,20,80,0,,,,
대전신대,목회자추천자전형,다,신학과,5,22,27,0.6,,921.5,904.5,512.5,6,7,7,6,6,2,8,9,7,7,8,7,,,,,,,
대진대,일반학생전형,가,글로벌경제학과,22,1,23,6.65,35,820,820,1000,,,,85,3,,,,,,3,2,61,30,9,,,,
대진대,일반학생전형,가,경영학과,25,2,27,4.7,32,840,830,1000,,,,,3,1,,,,,2,3,81,15,0,,,,
대진대,일반학생전형,가,국제통상학과,23,3,26,4.65,32,820,800,1000,,,,,3,2,,,,,3,3,92,8,0,,,,
대진대,일반학생전형,가,국제지역학전공,14,2,16,4.94,30,800,800,1000,,,,,3,3,,,,,3,3,100,0,0,,,,
대진대,일반학생전형,가,중국학전공,22,2,24,7.25,47,792,782,1000,,,96,,4,,,,,,2,4,71,29,0,,,,
대진대,일반학생전형,가,의생명과학과,23,2,25,3.2,27,802,780.36,1000,77,,,,,2,,,87,,4,,13,83,4,,,,
대진대,일반학생전형,가,식품영양학과,12,1,13,3.85,28,749.4,680,1000,,59,,,,1,,,,,4,4,62,31,8,,,,
대진대,일반학생전형,가,보건경영학과,9,2,11,6,17,836,820,1000,,,,89,3,,,,,,3,2,36,64,0,,,,
대진대,일반학생전형,가,건축공학과,7,1,8,6.88,8,840,840,1000,,,,,3,1,,,,,3,1,43,57,0,,,,
대진대,일반학생전형,가,데이터경영산업공학과,4,0,4,9.25,10,828.4,821.6,1000,,74,,,,2,,76,,,,3,25,50,25,,,,
대진대,일반학생전형,가,반도체융합공학과,20,0,20,4.8,20,854.6,848,1000,,81,,,,3,,,92,,3,,11,89,0,,,,
대진대,일반학생전형,가,IT기계공학과,8,0,8,8.38,9,854.6,850,1000,,81,,,3,,,,,,2,2,14,86,0,,,,
대진대,일반학생전형,나,공공인재법학과,17,2,19,4.16,15,820,800,1000,,,85,,3,,,,,,3,3,72,22,6,,,,
대진대,일반학생전형,나,행정정보학과,18,2,20,3.5,24,804,800,1000,,,,81,3,,,,,,3,3,75,19,6,,,,
대진대,일반학생전형,나,사회복지학과,14,2,16,6.81,28,800,800,1000,,,,,3,3,,,,,3,3,69,31,0,,,,
대진대,일반학생전형,나,아동학과,13,2,15,4.73,6,780,776,1000,70,,,,,1,,,74,,3,,79,7,0,,,,
대진대,일반학생전형,나,미디어커뮤니케이션학과,24,0,24,3.42,19,820,800,1000,,,,,3,2,,,,,3,3,83,17,0,,,,
대진대,일반학생전형,나,문헌정보학과,15,2,17,3.65,8,822,820,1000,77,,,,,1,,,,,3,2,82,18,0,,,,
대진대,일반학생전형,나,스마트모빌리티전공,21,4,25,3.72,23,806.6,800,1000,,81,,,,4,,,,,3,3,17,79,4,,,,
대진대,일반학생전형,나,컴퓨터공학전공,15,0,15,2.87,7,865.2,852,1000,,,90,,3,,82,,,,,1,23,69,8,,,,
대진대,일반학생전형,나,AI빅데이터전공,12,8,20,2.8,20,840,820,1000,,,,,3,1,,,,,3,2,15,85,0,,,,
대진대,일반학생전형,나,스마트융합보안학과,18,2,20,2.85,16,820,800,1000,,,,,3,2,,,,,3,3,16,79,5,,,,
대진대,일반학생전형,나,에너지공학부,22,3,25,4.56,18,820,820,1000,,,,,3,2,,,,,3,2,16,80,4,,,,
대진대,일반학생전형,나,스마트건설환경공학과,21,1,22,3.68,15,808.4,801,1000,,74,,,3,,,,75,,3,,5,86,9,,,,
대진대,일반학생전형,나,공학자율학부,67,12,79,3.35,73,828.4,809.2,1000,,74,,,,2,,68,,,2,,16,83,1,,,,
대진대,일반학생전형,나,자율전공학부,15,3,18,3.56,33,840,820,1000,,,,,3,1,,,,,3,2,65,35,0,,,,
대진대,일반학생전형,다,영어영문학과,29,0,29,4.97,55,820,804,1000,,,,,3,2,74,,,,,1,86,14,0,,,,
대진대,일반학생전형,다,역사·문화콘텐츠학과,20,1,21,8.86,54,810,800,1000,75,,,,,1,,,,,3,3,89,11,0,,,,
대진대,일반학생전형,다,문예콘텐츠창작학과,14,2,16,5.38,37,800,800,1000,,,,,3,3,,,,,3,3,69,25,6,,,,
대진대,일반학생전형,다,간호학과,16,1,17,6.88,20,907.8,894.6,1000,,83,,,1,,,81,,,,1,19,81,0,,,,
덕성여대,수능100%전형,가,과학기술대학,84,5,89,4.24,67,888,884,1000,92,81,51,49,2,3,68,66,94,85,2,3,15,81.6,3.4,,,,
덕성여대,수능100%전형,가,약학대학(약학과),35,,35,7.17,54,978.5,977,1000,91,98,100,98,2,2,98,97,96,92,2,2,,93.9,6.1,,,,
